name,Facts
Persian,"Persian‘s level-up moves are all Normal-type or Dark-type, except the move Power Gem."
Psyduck,Psyduck is the only Pokémon to learn Psychic by breeding.
Golduck,"Golduck is one of the few Pokémon that is obtainable in every game, including expansion games and remakes."
Mankey,Mankey is the first Fighting-type Pokémon in National Pokédex order.
Primeape,Primape‘s like to eat bananas.
Growlithe,Growlithe is a Puppy Pokémon; the only other Pokémon that has this species name is Lillipup.
Arcanine,"Arcanine is said to be capable of running over 6,200 miles in a single day and night."
Poliwag,Poliwag has the same cry as Ditto in the games.
Poliwhirl,Poliwhirl is the first Pokémon in National Pokédex order to evolve by trading while holding an item.
Poliwrath,"Poliwrath is a combination of the word polliwog, which is a tadpole, and wrath, meaning anger."
Abra,Abra has the highest Special Attack of all unevolved Pokémon.
Kadabra,Kadabra is based on a magician and also a spoon-bender.
Alakazam,Alakazam‘s have a shorter mustache if they are female.
Machop,"Machop can learn Strength, which is the only HM move it can learn."
Machoke,Machoke weighs 70.5 kg.
Machamp,"Machamp is one of the four Pokémon, having a total of four arms."
Bellsprout,Bellsprout eats insects and takes in nutrients from the soil.
Weepinbell,Weepinbell first appeared in the animé in The School of Hard Knocks.
Victreebel,Victreebel and its pre-evolutions are based on carnivorous pitcher plants.
Tentacool,"Tentacool is weak against Ground, Electric, and Psychic-type moves."
Tentacruel,"Tentacruel is said to have eighty tentacles; however, only about ten are often seen."
Geodude,"Geodude are often shown to be floating; however, they cannot have the Levitate Ability, and they can’t learn Magnet Rise."
Graveler,Graveler‘s diet mainly consists of moss-covered rocks.
Golem,"Golem are able to withdraw their head, arms, and legs into their shell and roll at high speeds."
Ponyta,"Ponyta, in shiny form, has blue flames."
Rapidash,Rapidash has no flames for a split second in the first movie.
Slowpoke,Slowpoke was originally going to be called “Slowmo.”
Slowbro,Slowbro and Slowking are the only Pokémon that can de-evolve in the anime.
Magnemite,Magnemite is the first Steel-type Pokémon in National Pokédex order.
Magneton,Magneton has been used by more rival characters than any other Pokémon.
Farfetch'd,Farfetch’d is the only non-glitch Pokémon with an apostrophe in its name.
Doduo,"Doduo has brown necks if they are female, and males have black necks."
Dodrio,"Dodrio is based on the dodo, a flightless bird; however, it is able to learn Fly."
Seel,Seel is the only non-Ice-type Pokémon to have the Ice Body Ability.
Dewgong,Dewgong is the first Ice Pokémon in the National Pokédex order.
Grimer,"Grimer is one of two Pokémon who don’t change weight during evolution, the other is Gastly."
Muk,Muk is tied with Mew for the shortest English name out of all Pokémon.
Shellder,Shellder learns Hydro Pump at level 61.
Cloyster,Cloyster is the only Ice-type Pokémon in the purple color group.
Gastly,Gastly and its evolution Haunter are the lightest Pokémon in existence.
Haunter,Haunter has a slightly different cry starting in Generation III.
Gengar,Gengar is theorized to be a shadow of a Clefable.
Onix,Onix is the longest Pokémon that can hatch from an Egg.
Drowzee,"Drowzee is based on the Japanese myth of the Baku, creatures who eat bad dreams of sleeping people."
Hypno,Hypno in shiny form is purple/pink in color.
Krabby,Krabby can grow back its pincers in a short amount of time if they are lost during battle.
Kingler,Kingler mainly eats Shellder for their diet.
Voltorb,Voltorb has the lowest Attack stat of all Electric-type Pokémon.
Electrode,Electrode is based on a living Poké Ball and is often mistaken for one.
Exeggcute,Exeggcute can be found in the Dream World in Pleasant Forest.
Exeggutor,Exeggutor and its pre-evolved form are the only known Pokémon that learn Barrage.
Cubone,Cubone is only 40cm in height and weighs 6.5kg.
Marowak,"Marowak sometimes is found holding a Thick Club; however, there’s only a 5% chance since Generation III."
Hitmonlee,"Hitmonlee is a combination of hit, monster, and Lee, which references Bruce Lee."
Hitmonchan,Hitmonchan is based on Jackie Chan.
Lickitung,Lickitung‘s name was misspelled “Likitung” in the Kanto Pokérap.
Koffing,"Koffing was originally known as “Ny,” representing New York City’s polluted air."
Weezing,Weezing has the highest Defense out of all Poison-type Pokémon.
Rhyhorn,Rhyhorn has the exact same cry as Charizard in the games.
Rhydon,Rhydon was the first Pokémon ever created!
Chansey,Chansey is a female-only species with no male counterpart.
Tangela,"Tangela is the first pure Grass-type Pokémon in the National Pokédex order, and also the only pure Grass-type in Generation I."
Kangaskhan,"Kangaskhan are born with a baby already in their pouch, the baby Kangaskhan is not a separate Pokémon."
Horsea,Horsea cannot learn any physical attacks without TMs.
Seadra,Seadra‘s are capable of swimming backward while facing forward.
Goldeen,Goldeen was one of three original Pokémon Misty acquired.
Seaking,Seaking and its pre-evolved form are the only Pokémon that can learn Waterfall through leveling up.
Staryu,"Staryu‘s Japanese name is Hitodeman, which roughly translates to “starfish man.”"
Starmie,Starmie is a genderless species.
Mr. Mime,"Mr. Mime are not all male, it is just as common to see a female."
Scyther,"Scyther hates the color red, according to the animé episode Showdown in Dark City."
Jynx,Jynx is a female-only species based on a bulky human woman.
Electabuzz,"Electabuzz evolves into Electivire when traded, holding an Electirizer."
Magmar,Magmar first appeared under the ownership of Blaine.
Pinsir,Pinsir is currently the only non-Fighting-type Pokémon to learn Vital Throw.
Tauros,"Tauros is based on the Zodiac Taurus, the bull."
Magikarp,"Magikarp living for many years, can leap a mountain using Splash."
Gyarados,Gyarados has the greatest increase of its base stat total of any Pokémon compared to its pre-evolution.
Lapras,Lapras has the highest base HP of all Ice-types.
Ditto,Ditto has the same cry as Poliwag.
Eevee,Eevee‘s evolutionary family has the most evolutionary relatives out of any other Pokémon.
Vaporeon,Vaporeon is the only Eeveelution that does not share any weakness with another.
Jolteon,Jolteon is the lightest Eeveelution.
Flareon,Flareon is the only fully-evolved Fire-type Pokémon that cannot learn SolarBeam.
Porygon,Porygon is the only Pokémon that evolves by trade twice.
Omanyte,Omanyte‘s are resurrected from Helix Fossils.
Omastar,"Omastar first appeared in episode 46, Attack of the Prehistoric Pokémon."
Kabuto,Kabuto and its evolved form are the only non-Steel-type Pokémon able to learn Metal Sound via leveling up.
Kabutops,"Kabutops‘ scientific name is Kabutops maximis, it is one of two Pokémon to have a scientific name, the other being Oddish."
Aerodactyl,"Aerodactyl is the fastest Rock-type Pokémon, with a base Speed of 130."
Snorlax,Snorlax is the heaviest Pokémon that has a gender and the heaviest Normal-type Pokémon.
Articuno,Articuno is the only Pokemon that did not appear in Season 1.
Zapdos,"Zapdos and Jolteon have very similar names in Japanese: Zapdos is ???? (Thunder), while Jolteon is ????? (Thunders)."
Moltres,Moltres is the only Fire-type Pokémon to learn SolarBeam by level-up.
Dratini,Dratini is the lightest Dragon-type Pokémon.
Dragonair,Dragonair was originally named “Dragyn.”
Dragonite,Dragonite are very rare in the wild.
Mewtwo,"Mewtwo is a clone of the Pokémon Mew, yet it comes before Mew in the Pokédex."
Mew,Mew was a little-known secret when Pokémon Red and Green were first released in Japan. Even Nintendo was not initially aware that Mew was programmed into the game.
Chikorita,
Bayleef,
Meganium,
Cyndaquil,
Quilava,
Typhlosion,
Totodile,
Croconaw,
Feraligatr,
Sentret,
Furret,
Hoothoot,
Noctowl,
Ledyba,
Ledian,
Spinarak,
Ariados,
Crobat,
Chinchou,
Lanturn,
Pichu,
Cleffa,
Igglybuff,
Togepi,
Togetic,
Natu,
Xatu,
Mareep,
Flaaffy,
Ampharos,
Bellossom,
Marill,
Azumarill,
Sudowoodo,
Politoed,
Hoppip,
Skiploom,
Jumpluff,
Aipom,
Sunkern,
Sunflora,
Yanma,
Wooper,
Quagsire,
Espeon,
Umbreon,
Murkrow,
Slowking,
Misdreavus,
Unown,
Wobbuffet,
Girafarig,
Pineco,
Forretress,
Dunsparce,
Gligar,
Steelix,
Snubbull,
Granbull,
Qwilfish,
Scizor,
Shuckle,
Heracross,
Sneasel,
Teddiursa,
Ursaring,
Slugma,
Magcargo,
Swinub,
Piloswine,
Corsola,
Remoraid,
Octillery,
Delibird,
Mantine,
Skarmory,
Houndour,
Houndoom,
Kingdra,
Phanpy,
Donphan,
Porygon2,
Stantler,
Smeargle,
Tyrogue,
Hitmontop,
Smoochum,
Elekid,
Magby,
Miltank,
Blissey,
Raikou,
Entei,
Suicune,
Larvitar,
Pupitar,
Tyranitar,
Lugia,
Ho-Oh,
Celebi,
Treecko,
Grovyle,
Sceptile,
Torchic,
Combusken,
Blaziken,
Mudkip,
Marshtomp,
Swampert,
Poochyena,
Mightyena,
Zigzagoon,
Linoone,
Wurmple,
Silcoon,
Beautifly,
Cascoon,
Dustox,
Lotad,
Lombre,
Ludicolo,
Seedot,
Nuzleaf,
Shiftry,
Taillow,
Swellow,
Wingull,
Pelipper,
Ralts,
Kirlia,
Gardevoir,
Surskit,
Masquerain,
Shroomish,
Breloom,
Slakoth,
Vigoroth,
Slaking,
Nincada,
Ninjask,
Shedinja,
Whismur,
Loudred,
Exploud,
Makuhita,
Hariyama,
Azurill,
Nosepass,
Skitty,
Delcatty,
Sableye,
Mawile,
Aron,
Lairon,
Aggron,
Meditite,
Medicham,
Electrike,
Manectric,
Plusle,
Minun,
Volbeat,
Illumise,
Roselia,
Gulpin,
Swalot,
Carvanha,
Sharpedo,
Wailmer,
Wailord,
Numel,
Camerupt,
Torkoal,
Spoink,
Grumpig,
Spinda,
Trapinch,
Vibrava,
Flygon,
Cacnea,
Cacturne,
Swablu,
Altaria,
Zangoose,
Seviper,
Lunatone,
Solrock,
Barboach,
Whiscash,
Corphish,
Crawdaunt,
Baltoy,
Claydol,
Lileep,
Cradily,
Anorith,
Armaldo,
Feebas,
Milotic,
Castform,
Kecleon,
Shuppet,
Banette,
Duskull,
Dusclops,
Tropius,
Chimecho,
Absol,
Wynaut,
Snorunt,
Glalie,
Spheal,
Sealeo,
Walrein,
Clamperl,
Huntail,
Gorebyss,
Relicanth,
Luvdisc,
Bagon,
Shelgon,
Salamence,
Beldum,
Metang,
Metagross,
Regirock,
Regice,
Registeel,
Latias,
Latios,
Kyogre,
Groudon,
Rayquaza,
Jirachi,
Deoxys,
Turtwig,
Grotle,
Torterra,
Chimchar,
Monferno,
Infernape,
Piplup,
Prinplup,
Empoleon,
Starly,
Staravia,
Staraptor,
Bidoof,
Bibarel,
Kricketot,
Kricketune,
Shinx,
Luxio,
Luxray,
Budew,
Roserade,
Cranidos,
Rampardos,
Shieldon,
Bastiodon,
Burmy,
Wormadam,
Mothim,
Combee,
Vespiquen,
Pachirisu,
Buizel,
Floatzel,
Cherubi,
Cherrim,
Shellos,
Gastrodon,
Ambipom,
Drifloon,
Drifblim,
Buneary,
Lopunny,
Mismagius,
Honchkrow,
Glameow,
Purugly,
Chingling,
Stunky,
Skuntank,
Bronzor,
Bronzong,
Bonsly,
Mime Jr.,
Happiny,
Chatot,
Spiritomb,
Gible,
Gabite,
Garchomp,
Munchlax,
Riolu,
Lucario,
Hippopotas,
Hippowdon,
Skorupi,
Drapion,
Croagunk,
Toxicroak,
Carnivine,
Finneon,
Lumineon,
Mantyke,
Snover,
Abomasnow,
Weavile,
Magnezone,
Lickilicky,
Rhyperior,
Tangrowth,
Electivire,
Magmortar,
Togekiss,
Yanmega,
Leafeon,
Glaceon,
Gliscor,
Mamoswine,
Porygon-Z,
Gallade,
Probopass,
Dusknoir,
Froslass,
Rotom,
Uxie,
Mesprit,
Azelf,
Dialga,
Palkia,
Heatran,
Regigigas,
Giratina,
Cresselia,
Phione,
Manaphy,
Darkrai,
Shaymin,
Arceus,
Victini,
Snivy,
Servine,
Serperior,
Tepig,
Pignite,
Emboar,
Oshawott,
Dewott,
Samurott,
Patrat,
Watchog,
Lillipup,
Herdier,
Stoutland,
Purrloin,
Liepard,
Pansage,
Simisage,
Pansear,
Simisear,
Panpour,
Simipour,
Munna,
Musharna,
Pidove,
Tranquill,
Unfezant,
Blitzle,
Zebstrika,
Roggenrola,
Boldore,
Gigalith,
Woobat,
Swoobat,
Drilbur,
Excadrill,
Audino,
Timburr,
Gurdurr,
Conkeldurr,
Tympole,
Palpitoad,
Seismitoad,
Throh,
Sawk,
Sewaddle,
Swadloon,
Leavanny,
Venipede,
Whirlipede,
Scolipede,
Cottonee,
Whimsicott,
Petilil,
Lilligant,
Basculin,
Sandile,
Krokorok,
Krookodile,
Darumaka,
Darmanitan,
Maractus,
Dwebble,
Crustle,
Scraggy,
Scrafty,
Sigilyph,
Yamask,
Cofagrigus,
Tirtouga,
Carracosta,
Archen,
Archeops,
Trubbish,
Garbodor,
Zorua,
Zoroark,
Minccino,
Cinccino,
Gothita,
Gothorita,
Gothitelle,
Solosis,
Duosion,
Reuniclus,
Ducklett,
Swanna,
Vanillite,
Vanillish,
Vanilluxe,
Deerling,
Sawsbuck,
Emolga,
Karrablast,
Escavalier,
Foongus,
Amoonguss,
Frillish,
Jellicent,
Alomomola,
Joltik,
Galvantula,
Ferroseed,
Ferrothorn,
Klink,
Klang,
Klinklang,
Tynamo,
Eelektrik,
Eelektross,
Elgyem,
Beheeyem,
Litwick,
Lampent,
Chandelure,
Axew,
Fraxure,
Haxorus,
Cubchoo,
Beartic,
Cryogonal,
Shelmet,
Accelgor,
Stunfisk,
Mienfoo,
Mienshao,
Druddigon,
Golett,
Golurk,
Pawniard,
Bisharp,
Bouffalant,
Rufflet,
Braviary,
Vullaby,
Mandibuzz,
Heatmor,
Durant,
Deino,
Zweilous,
Hydreigon,
Larvesta,
Volcarona,
Cobalion,
Terrakion,
Virizion,
Tornadus,
Thundurus,
Reshiram,
Zekrom,
Landorus,
Kyurem,
Keldeo,
Meloetta,
Genesect,
Chespin,
Quilladin,
Chesnaught,
Fennekin,
Braixen,
Delphox,
Froakie,
Frogadier,
Greninja,
Bunnelby,
Diggersby,
Fletchling,
Fletchinder,
Talonflame,
Scatterbug,
Spewpa,
Vivillon,
Litleo,
Pyroar,
FlabÃ©bÃ©,
Floette,
Florges,
Skiddo,
Gogoat,
Pancham,
Pangoro,
Furfrou,
Espurr,
Meowstic,
Honedge,
Doublade,
Aegislash,
Spritzee,
Aromatisse,
Swirlix,
Slurpuff,
Inkay,
Malamar,
Binacle,
Barbaracle,
Skrelp,
Dragalge,
Clauncher,
Clawitzer,
Helioptile,
Heliolisk,
Tyrunt,
Tyrantrum,
Amaura,
Aurorus,
Sylveon,
Hawlucha,
Dedenne,
Carbink,
Goomy,
Sliggoo,
Goodra,
Klefki,
Phantump,
Trevenant,
Pumpkaboo,
Gourgeist,
Bergmite,
Avalugg,
Noibat,
Noivern,
Xerneas,
Yveltal,
Zygarde,
Diancie,
Hoopa,
Volcanion,
Rowlet,
Dartrix,
Decidueye,
Litten,
Torracat,
Incineroar,
Popplio,
Brionne,
Primarina,
Pikipek,
Trumbeak,
Toucannon,
Yungoos,
Gumshoos,
Grubbin,
Charjabug,
Vikavolt,
Crabrawler,
Crabominable,
Oricorio,
Cutiefly,
Ribombee,
Rockruff,
Lycanroc,
Wishiwashi,
Mareanie,
Toxapex,
Mudbray,
Mudsdale,
Dewpider,
Araquanid,
Fomantis,
Lurantis,
Morelull,
Shiinotic,
Salandit,
Salazzle,
Stufful,
Bewear,
Bounsweet,
Steenee,
Tsareena,
Comfey,
Oranguru,
Passimian,
Wimpod,
Golisopod,
Sandygast,
Palossand,
Pyukumuku,
Type: Null,
Silvally,
Minior,
Komala,
Turtonator,
Togedemaru,
Mimikyu,
Bruxish,
Drampa,
Dhelmise,
Jangmo-o,
Hakamo-o,
Kommo-o,
Tapu Koko,
Tapu Lele,
Tapu Bulu,
Tapu Fini,
Cosmog,
Cosmoem,
Solgaleo,
Lunala,
Nihilego,
Buzzwole,
Pheromosa,
Xurkitree,
Celesteela,
Kartana,
Guzzlord,
Necrozma,
Magearna,
